order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO-11460,97,280,2019-03-02,2019-03-03,2019-03-08,115.32,1,115.32
SO-11461,11,215,2019-05-05,2019-05-06,2019-05-13,3750.95,1,3750.95
SO-11464,79,378,2018-03-10,2018-03-16,2018-03-26,175.44,3,58.48
SO-11466,67,8,2022-07-10,2022-07-17,2022-07-27,321.74,1,321.74
SO-11467,23,228,2018-07-02,2018-07-07,2018-07-16,726.32,2,363.16
SO-11468,40,141,2024-04-15,2024-04-21,2024-04-22,433.86,3,144.62
SO-11469,15,471,2019-01-06,2019-01-09,2019-01-10,7466.2,2,3733.1
SO-11470,28,327,2022-03-15,2022-03-23,2022-03-24,660.96,2,330.48
SO-11473,97,378,2019-06-28,2019-07-03,2019-07-03,474.8,4,118.7
SO-11474,107,97,2021-01-22,2021-01-26,2021-01-28,416.46,3,138.82
SO-11476,45,396,2023-11-13,2023-11-21,2023-12-01,926.14,2,463.07
SO-11477,90,223,2021-11-21,2021-12-02,2021-12-12,590.16,3,196.72
SO-11479,12,263,2020-05-13,2020-05-18,2020-05-21,8021.88,4,2005.47
SO-11481,18,240,2024-07-31,2024-08-06,2024-08-11,17433.1,5,3486.62
SO-11484,46,446,2018-02-02,2018-02-05,2018-02-11,223.2,4,55.8
SO-11486,21,240,2024-02-18,2024-02-21,2024-02-21,2575.76,4,643.94
SO-11488,61,428,2020-09-24,2020-09-29,2020-10-04,916.55,5,183.31
SO-10826,98,479,2023-09-08,2023-09-10,2023-09-16,881.08,4,220.27
SO-11490,39,454,2024-09-10,2024-09-22,2024-09-30,1202.72,2,601.36
SO-11491,12,159,2019-08-03,2019-08-16,2019-08-21,8406.8,4,2101.7
SO-11492,39,158,2018-11-26,2018-11-29,2018-12-02,1026.12,2,513.06
SO-11494,1,245,2019-10-15,2019-10-21,2019-10-22,16543.08,4,4135.77
SO-11496,107,238,2020-09-21,2020-10-04,2020-10-05,529.48,4,132.37
SO-11498,105,346,2022-10-06,2022-10-16,2022-10-22,134.9,5,26.98
SO-11499,78,92,2020-08-21,,2020-09-01,199.62,3,66.54
SO-11500,83,118,2019-07-20,2019-07-28,2019-07-31,58.82,1,58.82
SO-11502,20,146,2021-06-28,2021-07-05,2021-07-15,11565.44,4,2891.36
SO-11505,67,428,2019-03-12,2019-03-20,2019-03-21,1194.0,3,398.0
SO-11506,21,164,2019-06-12,,2019-06-30,2481.64,4,620.41
SO-11508,99,28,2021-05-25,2021-06-01,2021-06-05,140.51,1,140.51
SO-11510,92,172,2024-01-01,2024-01-07,2024-01-08,50.7,2,25.35
SO-11180,1,173,2024-08-14,2024-08-19,2024-08-22,22430.2,5,4486.04
SO-11512,16,445,2023-06-29,2023-07-07,2023-07-12,2404.55,1,2404.55
SO-11514,99,420,2018-04-07,2018-04-16,2018-04-20,253.42,2,126.71
SO-10829,77,58,2022-01-03,2022-01-15,2022-01-15,471.5,5,94.3
SO-11518,64,221,2021-01-30,2021-02-05,2021-02-12,440.25,5,88.05
SO-11521,73,235,2018-06-16,2018-06-18,2018-06-23,90.69,3,30.23
SO-11522,49,263,2018-11-19,,2018-12-05,1161.78,3,387.26
SO-11525,96,453,2018-11-21,2018-12-05,2018-12-11,234.12,1,234.12
SO-11528,110,407,2020-09-25,2020-10-07,2020-10-07,588.84,3,196.28
SO-11531,100,96,2021-02-07,2021-02-16,2021-02-26,246.6,1,246.6
SO-11533,27,10,2022-08-25,2022-09-05,2022-09-07,1500.93,3,500.31
SO-11534,29,10,2021-08-22,2021-08-26,2021-08-27,1267.8,5,253.56
SO-11537,77,169,2024-01-27,2024-02-03,2024-02-10,367.55,5,73.51
SO-11539,110,381,2023-08-06,2023-08-10,2023-08-18,405.06,2,202.53
SO-11540,81,250,2024-04-18,2024-04-24,2024-04-25,117.62,2,58.81
SO-11542,87,240,2018-05-02,2018-05-05,2018-05-14,70.75,5,14.15
SO-11543,97,499,2021-03-08,2021-03-17,2021-03-24,213.34,2,106.67
SO-11544,13,203,2020-06-13,2020-06-17,2020-06-18,5473.45,5,1094.69
SO-11546,71,210,2021-12-12,2021-12-25,2021-12-28,388.32,4,97.08
SO-11549,88,492,2021-07-25,2021-08-03,2021-08-11,398.35,5,79.67
SO-11551,21,474,2019-12-29,2020-01-05,2020-01-09,591.01,1,591.01
SO-11552,50,298,2022-09-09,2022-09-16,2022-09-22,224.62,2,112.31
SO-10073,77,293,2022-08-02,2022-08-03,2022-08-08,401.55,5,80.31
SO-11554,96,308,2022-05-14,2022-05-23,2022-05-31,476.16,2,238.08
SO-11555,61,480,2020-03-29,2020-04-04,2020-04-06,498.03,3,166.01
SO-11558,78,228,2020-09-17,2020-09-30,2020-10-02,266.04,4,66.51
SO-11238,32,237,2018-10-14,2018-10-15,2018-10-15,1537.64,4,384.41
SO-10448,92,276,2019-05-11,2019-05-23,2019-06-01,117.2,5,23.44
SO-11564,99,21,2022-01-28,2022-02-04,2022-02-12,530.92,4,132.73
SO-11567,97,406,2019-04-03,2019-04-15,2019-04-17,324.12,3,108.04
SO-11568,34,50,2021-09-13,2021-09-24,2021-09-25,1671.16,4,417.79
SO-11363,89,228,2021-09-16,2021-09-29,2021-10-06,46.5,3,15.5
SO-11571,29,451,2022-02-28,2022-03-10,2022-03-15,765.72,3,255.24
SO-11574,57,345,2021-04-22,2021-04-25,2021-04-27,949.24,2,474.62
SO-11575,75,156,2019-08-31,2019-09-10,2019-09-10,183.81,3,61.27
SO-11577,80,461,2019-11-29,2019-12-05,2019-12-15,105.44,2,52.72
SO-11579,83,87,2023-11-22,,2023-12-02,293.6,4,73.4
SO-11581,27,115,2019-09-07,2019-09-12,2019-09-21,568.19,1,568.19
SO-11582,108,383,2023-11-17,2023-11-21,2023-11-24,290.19,3,96.73
SO-11583,35,284,2023-12-31,2024-01-14,2024-01-22,545.14,1,545.14
SO-11585,103,379,2020-01-19,2020-01-31,2020-02-10,296.42,2,148.21
SO-11587,71,143,2019-01-10,2019-01-22,2019-01-25,97.24,1,97.24
SO-11588,75,390,2024-07-08,2024-07-16,2024-07-23,64.89,1,64.89
SO-11589,62,60,2022-12-16,2022-12-18,2022-12-25,165.96,2,82.98
SO-11590,75,221,2019-04-02,2019-04-14,2019-04-21,131.96,2,65.98
SO-11592,97,209,2024-09-29,2024-10-04,2024-10-11,209.94,2,104.97
SO-11594,112,273,2020-10-16,2020-10-22,2020-10-26,429.9,5,85.98
SO-11595,63,4,2021-07-31,2021-08-09,2021-08-16,159.84,4,39.96
SO-11597,44,327,2024-01-16,2024-01-30,2024-02-01,253.72,2,126.86
SO-11599,99,272,2023-04-17,2023-04-19,2023-04-29,464.76,3,154.92
SO-11600,99,203,2019-12-05,2019-12-19,2019-12-21,715.7,5,143.14
SO-11603,101,214,2021-01-08,2021-01-12,2021-01-16,563.24,4,140.81
SO-11606,46,425,2021-07-15,2021-07-23,,240.84,4,60.21
SO-11607,53,182,2019-07-28,2019-08-05,2019-08-09,356.1,1,356.1
SO-11609,4,165,2022-10-18,2022-10-31,2022-11-06,11853.45,3,3951.15
SO-11611,110,141,2019-03-14,2019-03-16,2019-03-19,361.46,2,180.73
SO-11248,100,338,2022-05-17,2022-05-29,2022-06-05,442.56,2,221.28
SO-11614,36,276,2022-02-22,2022-03-02,2022-03-06,263.71,1,263.71
SO-11617,53,423,2019-09-14,2019-09-28,2019-09-30,1506.25,5,301.25
SO-11620,70,391,2020-12-03,2020-12-12,2020-12-20,209.19,3,69.73
SO-11623,92,379,2021-07-09,2021-07-23,2021-07-28,94.72,4,23.68
SO-11625,43,102,2020-11-26,2020-12-01,2020-12-10,111.34,1,111.34
SO-11626,107,271,2018-09-04,2018-09-13,2018-09-18,153.93,1,153.93
SO-11628,102,276,2023-07-09,2023-07-14,2023-07-23,512.55,3,170.85
SO-11629,69,82,2023-10-05,2023-10-19,2023-10-20,590.35,5,118.07
SO-11632,56,419,2021-02-08,2021-02-16,2021-02-23,167.26,2,83.63
SO-11568,100,355,2022-11-07,2022-11-08,2022-11-14,1111.75,5,222.35
SO-11637,20,133,2020-07-01,2020-07-11,2020-07-21,10340.1,3,3446.7
SO-11639,92,445,2024-06-20,2024-06-23,2024-06-26,39.6,2,19.8
SO-11640,100,66,2024-01-22,2024-01-28,2024-01-29,802.05,3,267.35
SO-11641,55,139,2020-08-12,2020-08-16,2020-08-21,269.59,1,269.59
SO-11643,4,228,2020-05-04,2020-05-11,2020-05-11,15197.92,4,3799.48
SO-11644,12,497,2019-12-19,2019-12-28,2020-01-06,9531.95,5,1906.39
SO-11647,46,384,2021-07-21,2021-07-28,2021-07-31,136.7,2,68.35
SO-11648,59,9,2018-01-30,2018-02-06,2018-02-12,1709.64,4,427.41
SO-11649,56,485,2021-05-16,,2021-05-21,358.08,4,89.52
SO-11651,6,73,2020-10-16,2020-10-19,2020-10-28,2414.54,1,2414.54
SO-11652,77,411,2020-05-09,2020-05-23,2020-06-02,251.37,3,83.79
SO-11655,20,380,2020-01-14,2020-01-20,2020-01-21,5771.9,2,2885.95
SO-11031,80,165,2018-04-27,2018-05-10,2018-05-10,130.05,3,43.35
SO-11367,70,194,2024-09-17,,2024-10-07,116.62,2,58.31
SO-11659,61,238,2022-08-28,2022-09-11,2022-09-19,681.68,4,170.42
SO-11661,33,66,2021-08-15,2021-08-26,2021-09-03,990.96,3,330.32
SO-11664,26,65,2020-06-17,2020-06-26,2020-06-28,293.68,2,146.84
SO-11667,14,128,2020-07-15,2020-07-20,2020-07-22,6651.27,3,2217.09
SO-10854,35,390,2019-06-24,2019-06-30,2019-07-06,1491.99,3,497.33
SO-11673,7,407,2020-03-21,2020-03-24,2020-03-24,1150.62,2,575.31
SO-11674,74,247,2023-06-05,2023-06-19,2023-06-24,111.34,2,55.67
SO-11675,59,319,2020-12-12,2020-12-21,2020-12-28,401.09,1,401.09
SO-11676,33,175,2023-06-20,2023-07-03,2023-07-11,1210.8,4,302.7
SO-11540,101,188,2022-10-14,2022-10-25,2022-10-25,541.0,5,108.2
SO-11680,38,65,2021-11-24,2021-11-29,2021-12-06,605.92,4,151.48
SO-11681,51,420,2023-09-24,2023-09-28,2023-09-30,995.26,2,497.63
SO-11682,73,441,2023-12-14,2023-12-23,2023-12-23,170.05,5,34.01
SO-11684,21,52,2019-11-10,2019-11-21,2019-12-01,2661.85,5,532.37
SO-11687,55,440,2020-04-08,2020-04-13,2020-04-13,1142.08,4,285.52
SO-11689,42,70,2021-05-13,2021-05-14,2021-05-15,1899.24,3,633.08
SO-11692,9,31,2022-08-08,2022-08-11,2022-08-13,10617.16,4,2654.29
SO-11693,51,403,2019-10-16,2019-10-27,2019-11-02,1880.28,4,470.07
SO-11695,18,458,2022-07-03,2022-07-05,2022-07-14,6564.18,2,3282.09
SO-10062,16,267,2021-06-28,2021-07-07,2021-07-08,10563.65,5,2112.73
SO-11700,20,37,2021-10-30,2021-11-04,2021-11-04,15151.28,4,3787.82
SO-11701,91,355,2023-06-19,2023-07-02,2023-07-06,441.44,2,220.72
SO-11703,31,446,2023-07-19,2023-08-02,2023-08-08,1787.12,4,446.78
SO-10915,36,464,2020-10-27,2020-11-07,2020-11-15,777.48,3,259.16
SO-11709,104,249,2020-09-21,2020-10-01,2020-10-08,219.26,2,109.63
SO-11498,63,288,2024-10-20,2024-11-03,2024-11-12,185.88,4,46.47
SO-11715,108,407,2019-02-08,2019-02-18,2019-02-19,105.82,1,105.82
SO-11718,54,418,2022-06-01,2022-06-13,2022-06-13,1048.89,3,349.63
SO-11715,52,417,2022-11-04,,2022-11-15,535.2,2,267.6
SO-11720,94,234,2020-11-04,2020-11-10,2020-11-20,112.98,3,37.66
SO-11722,59,358,2020-12-13,2020-12-26,2020-12-28,756.86,2,378.43
SO-11724,100,418,2019-12-06,2019-12-20,2019-12-27,225.47,1,225.47
SO-11725,41,425,2021-06-06,2021-06-08,2021-06-09,2121.12,4,530.28
SO-11727,110,363,2023-06-12,2023-06-18,2023-06-23,866.0,4,216.5
SO-11728,25,298,2021-06-25,2021-07-04,2021-07-14,851.65,5,170.33
SO-11729,26,48,2019-01-06,2019-01-18,2019-01-27,719.68,4,179.92
SO-11730,50,54,2021-04-18,2021-04-28,2021-05-07,101.31,1,101.31
SO-11731,86,141,2018-04-18,2018-04-26,2018-04-29,58.36,2,29.18
SO-11732,38,125,2018-03-27,2018-04-10,2018-04-19,661.4,4,165.35
SO-11734,24,435,2023-10-26,2023-11-05,2023-11-11,834.9,5,166.98
SO-11736,103,411,2020-12-15,2020-12-22,2020-12-27,551.91,3,183.97
SO-11739,18,165,2020-10-08,2020-10-21,2020-10-29,15952.45,5,3190.49
SO-11741,69,161,2019-03-06,2019-03-19,2019-03-28,222.4,2,111.2
SO-11742,60,138,2024-06-10,2024-06-24,2024-06-24,2457.08,4,614.27
SO-10513,3,287,2023-01-11,2023-01-20,2023-01-30,3206.84,1,3206.84
SO-11744,93,142,2024-05-22,2024-05-27,2024-05-27,277.0,5,55.4
SO-11745,85,232,2021-06-23,2021-07-02,2021-07-12,207.42,3,69.14
SO-11746,99,277,2024-07-31,2024-08-06,2024-08-06,580.1,5,116.02
SO-11747,79,33,2023-12-10,2023-12-17,2023-12-19,94.98,2,47.49
SO-11748,4,333,2023-07-21,2023-08-02,2023-08-03,10068.12,3,3356.04
SO-11750,104,209,2022-04-11,2022-04-23,2022-04-30,237.1,2,118.55
SO-10837,33,256,2019-01-07,2019-01-10,2019-01-14,1036.76,4,259.19
SO-11753,68,132,2018-03-25,2018-04-04,2018-04-04,205.8,5,41.16
SO-10939,2,3,2021-08-31,2021-09-07,2021-09-11,3397.81,1,3397.81
SO-11757,82,318,2023-08-03,2023-08-06,2023-08-14,211.44,2,105.72
SO-10954,74,91,2022-12-11,2022-12-23,2022-12-25,236.4,5,47.28
SO-10674,104,479,2021-06-30,2021-07-05,2021-07-06,338.49,3,112.83
SO-11763,20,314,2021-10-13,2021-10-21,2021-10-31,18904.5,5,3780.9
SO-11764,44,127,2022-02-06,2022-02-09,2022-02-12,417.6,4,104.4
SO-11766,104,432,2024-08-18,2024-08-20,2024-08-28,112.15,1,112.15
SO-11769,67,202,2024-02-16,2024-02-27,2024-03-01,1059.27,3,353.09
SO-11771,52,223,2022-03-25,2022-03-27,2022-04-03,261.12,1,261.12
SO-11773,101,395,2021-03-22,2021-04-04,2021-04-14,124.39,1,124.39
SO-11776,96,461,2024-05-28,2024-06-06,2024-06-08,690.96,3,230.32
SO-11777,46,494,2024-01-12,2024-01-13,2024-01-23,254.36,4,63.59
SO-11780,6,467,2020-05-28,2020-05-30,2020-06-06,6204.66,2,3102.33
SO-10040,74,328,2024-11-15,2024-11-16,2024-11-16,193.12,4,48.28
SO-10179,105,469,2021-09-16,2021-09-19,2021-09-25,60.12,2,30.06
SO-11787,86,133,2022-09-28,2022-10-09,2022-10-18,86.28,3,28.76
SO-11790,2,213,2022-08-22,2022-08-29,2022-09-02,6829.42,2,3414.71
SO-11792,6,357,2023-01-14,2023-01-17,2023-01-27,4725.74,2,2362.87
SO-11793,24,275,2021-09-02,2021-09-05,2021-09-09,550.84,4,137.71
SO-11794,51,422,2020-04-07,2020-04-09,2020-04-17,1646.88,4,411.72
SO-10028,30,20,2022-05-09,2022-05-12,2022-05-13,321.73,1,321.73
SO-11796,85,479,2023-08-25,2023-09-07,,157.18,2,78.59
SO-11387,23,180,2023-03-08,2023-03-12,2023-03-22,329.86,1,329.86
SO-11801,25,172,2022-12-03,2022-12-04,2022-12-11,203.02,1,203.02
SO-11804,41,30,2019-04-02,,2019-04-14,2272.8,4,568.2
SO-11806,48,20,2019-08-11,,2019-08-23,152.66,2,76.33
SO-11809,16,439,2020-07-08,2020-07-21,2020-07-31,2177.32,1,2177.32
SO-11812,83,198,2021-03-02,2021-03-13,2021-03-22,255.56,4,63.89
SO-11814,82,233,2023-05-17,2023-05-20,2023-05-27,514.2,5,102.84
SO-11816,33,452,2019-10-19,2019-10-25,2019-10-25,1264.28,4,316.07
SO-11819,110,117,2022-07-06,2022-07-09,2022-07-19,520.08,3,173.36
SO-11821,57,488,2022-05-11,2022-05-19,2022-05-24,1297.17,3,432.39
SO-11822,92,98,2024-05-17,2024-05-21,2024-05-31,104.6,5,20.92
SO-11824,83,158,2020-05-24,2020-05-31,2020-06-02,226.56,4,56.64
SO-11827,53,27,2020-03-27,2020-03-31,2020-04-05,1818.15,5,363.63
SO-11829,4,356,2020-04-25,2020-05-02,2020-05-11,7179.6,2,3589.8
SO-11831,74,401,2020-03-21,2020-03-24,2020-03-30,158.61,3,52.87
SO-11010,79,478,2024-11-13,2024-11-22,2024-12-02,54.72,1,54.72
SO-11835,110,47,2021-07-07,2021-07-13,2021-07-16,440.8,2,220.4
SO-11837,75,464,2023-01-04,2023-01-12,2023-01-17,119.4,2,59.7
SO-11838,21,213,2019-05-01,2019-05-10,2019-05-19,2077.44,4,519.36
SO-11841,109,463,2020-10-18,2020-10-20,2020-10-30,505.4,2,252.7
SO-11843,49,245,2019-11-30,2019-12-13,2019-12-13,2109.0,5,421.8
SO-11844,58,458,2018-03-23,2018-03-31,2018-04-10,979.85,5,195.97
SO-11845,18,320,2021-05-14,2021-05-25,2021-05-31,6338.7,2,3169.35
SO-11848,42,150,2018-12-07,2018-12-13,2018-12-22,1995.12,4,498.78
SO-11850,25,263,2021-02-21,2021-03-02,2021-03-02,686.68,4,171.67
SO-11852,58,222,2021-10-14,2021-10-15,2021-10-19,869.2,4,217.3
SO-11855,2,377,2024-06-07,2024-06-08,2024-06-12,11159.44,4,2789.86
SO-11857,90,193,2021-10-06,2021-10-12,2021-10-20,843.76,4,210.94
SO-11860,25,251,2021-02-27,2021-03-04,2021-03-05,830.08,4,207.52
SO-11863,15,12,2019-06-11,2019-06-24,2019-06-25,6834.5,2,3417.25
SO-11864,111,39,2018-02-09,2018-02-21,2018-02-21,833.55,3,277.85
SO-11866,81,448,2021-09-17,2021-09-30,2021-10-10,56.4,1,56.4
SO-11867,24,47,2019-01-11,2019-01-12,2019-01-18,268.18,2,134.09
SO-11868,61,419,2020-03-19,2020-03-31,2020-04-07,1033.25,5,206.65
SO-11869,57,95,2023-09-11,2023-09-12,2023-09-13,1059.3,2,529.65
SO-11870,90,64,2018-11-07,2018-11-11,2018-11-13,707.4,3,235.8
SO-11872,77,212,2023-09-07,2023-09-18,2023-09-22,170.72,2,85.36
SO-10676,88,129,2021-02-26,2021-03-11,2021-03-13,70.73,1,70.73
SO-11877,11,346,2023-01-01,2023-01-02,2023-01-12,3756.39,1,3756.39
SO-11880,87,492,2018-09-27,2018-10-07,2018-10-11,46.89,3,15.63
SO-11882,41,280,2020-02-19,2020-02-23,2020-03-03,960.66,2,480.33
SO-11884,60,445,2023-03-18,2023-03-26,2023-03-28,1274.62,2,637.31
SO-11886,49,446,2019-09-04,2019-09-11,2019-09-16,388.8,1,388.8
SO-11887,28,49,2018-03-09,2018-03-16,2018-03-23,652.44,2,326.22
SO-11890,36,117,2020-02-18,2020-02-26,2020-03-06,1041.24,4,260.31
SO-11891,46,493,2019-03-11,2019-03-13,2019-03-18,244.28,4,61.07
SO-11892,54,252,2018-02-23,2018-02-28,2018-03-10,631.9,2,315.95
SO-11895,17,272,2021-02-28,2021-03-06,2021-03-11,6237.78,2,3118.89
SO-11897,32,108,2021-08-29,2021-09-10,2021-09-13,1074.66,3,358.22
SO-11899,74,407,2021-09-18,2021-09-30,2021-10-03,123.12,2,61.56
SO-11902,76,313,2020-08-28,2020-09-11,2020-09-14,266.44,4,66.61
SO-11904,97,76,2024-12-29,2025-01-04,2025-01-05,554.4,5,110.88
SO-11906,9,231,2022-05-15,2022-05-28,2022-05-31,7702.32,3,2567.44
SO-11907,82,2,2021-09-02,2021-09-08,2021-09-17,373.32,4,93.33
SO-11909,78,453,2024-01-06,2024-01-10,2024-01-20,152.94,2,76.47
SO-11912,25,269,2023-08-27,2023-09-01,,711.6,4,177.9
SO-11484,38,13,2018-04-29,2018-05-10,2018-05-20,513.44,4,128.36
SO-11915,72,81,2024-08-29,2024-09-06,2024-09-11,86.08,1,86.08
SO-10488,21,301,2019-06-11,2019-06-17,2019-06-17,499.1,1,499.1
SO-11919,71,14,2022-11-14,2022-11-25,2022-11-30,307.12,4,76.78
SO-11921,73,388,2024-05-17,2024-05-18,2024-05-26,38.21,1,38.21
SO-11922,20,53,2023-11-12,2023-11-15,2023-11-18,3694.83,1,3694.83
SO-11923,64,206,2024-02-11,2024-02-12,2024-02-20,402.24,4,100.56
SO-10015,58,82,2019-04-18,2019-05-01,2019-05-05,377.8,2,188.9
SO-11925,62,22,2018-06-22,2018-06-26,2018-06-29,219.36,2,109.68
SO-11440,86,203,2018-03-20,2018-03-29,2018-04-02,107.48,4,26.87
SO-11931,5,107,2020-07-29,2020-08-08,2020-08-15,3187.39,1,3187.39
SO-11932,51,109,2019-09-16,2019-09-25,2019-09-25,2118.85,5,423.77
SO-11933,97,312,2020-11-15,2020-11-21,2020-11-24,377.07,3,125.69
SO-11935,78,496,2023-09-28,2023-10-11,2023-10-17,119.3,2,59.65
SO-11639,26,389,2024-05-24,2024-06-05,2024-06-09,363.48,2,181.74
SO-11937,73,456,2020-10-30,2020-11-03,2020-11-11,33.4,1,33.4
SO-11939,93,199,2021-09-02,2021-09-10,2021-09-16,300.9,5,60.18
SO-11942,110,481,2020-10-14,2020-10-16,2020-10-25,215.79,1,215.79
SO-11944,1,156,2022-12-28,2023-01-04,2023-01-13,7066.0,2,3533.0
SO-10003,48,39,2021-02-20,2021-02-27,2021-03-09,85.02,1,85.02
SO-11948,16,471,2018-05-05,2018-05-13,2018-05-15,1862.47,1,1862.47
SO-11951,72,140,2021-01-11,2021-01-12,2021-01-21,258.2,4,64.55
SO-11953,4,20,2023-07-31,,2023-08-14,13860.28,4,3465.07
SO-11955,91,145,2023-05-17,2023-05-21,2023-05-25,231.36,1,231.36
SO-11956,84,23,2024-04-25,2024-05-09,2024-05-15,179.7,5,35.94
SO-11957,37,187,2018-12-29,2019-01-08,2019-01-13,813.32,4,203.33
SO-11960,71,277,2019-08-20,2019-08-26,2019-09-05,249.66,3,83.22
SO-11962,19,417,2023-07-19,2023-07-30,2023-08-07,7321.52,4,1830.38
SO-11964,46,331,2023-03-27,2023-04-04,2023-04-12,133.02,2,66.51
SO-11965,77,175,2024-01-22,2024-02-02,2024-02-04,385.75,5,77.15
SO-11966,106,215,2019-04-04,2019-04-13,2019-04-21,23.12,1,23.12
SO-11967,95,117,2021-10-03,2021-10-11,2021-10-12,236.1,3,78.7
SO-11970,105,202,2020-06-16,2020-06-26,2020-07-01,133.24,4,33.31
SO-11971,107,356,2020-02-11,2020-02-23,2020-02-23,827.4,5,165.48
SO-10218,31,387,2022-07-22,2022-07-27,2022-07-30,2731.3,5,546.26
SO-11974,27,96,2018-10-20,2018-10-22,2018-10-26,2486.16,4,621.54
SO-11977,77,154,2021-11-06,2021-11-13,2021-11-18,163.7,2,81.85
SO-11980,6,348,2023-07-06,2023-07-07,2023-07-14,7847.04,3,2615.68
SO-11983,99,51,2022-09-28,2022-10-10,2022-10-19,764.15,5,152.83
SO-11985,5,493,2023-06-20,2023-07-03,2023-07-04,12322.84,4,3080.71
SO-11988,13,233,2022-04-05,2022-04-17,2022-04-22,2431.24,2,1215.62
SO-11991,110,232,2020-06-06,2020-06-16,2020-06-22,160.96,1,160.96
SO-11994,57,36,2023-08-19,2023-08-22,2023-08-29,1464.21,3,488.07
SO-10983,33,300,2019-04-27,2019-05-09,2019-05-17,1026.72,4,256.68
SO-11997,55,57,2019-09-27,2019-10-11,2019-10-12,608.22,2,304.11
SO-12000,23,396,2022-03-24,2022-03-25,2022-03-29,622.14,2,311.07
SO-11948,57,414,2019-04-21,2019-04-23,2019-04-25,806.54,2,403.27
SO-12005,102,358,2022-10-28,2022-10-29,2022-11-06,512.61,3,170.87
SO-12008,90,217,2018-10-02,2018-10-04,2018-10-05,733.35,3,244.45
SO-12009,18,62,2018-04-09,2018-04-12,2018-04-13,16297.3,5,3259.46
SO-12012,34,245,2018-10-01,2018-10-14,2018-10-24,758.9,2,379.45
SO-12014,18,383,2022-05-20,,2022-05-26,3643.85,1,3643.85
SO-12017,2,156,2019-07-16,2019-07-22,2019-07-25,13596.04,4,3399.01
SO-12018,23,199,2024-03-15,2024-03-26,2024-04-05,1910.9,5,382.18
SO-12019,111,390,2018-10-06,2018-10-14,2018-10-22,253.2,1,253.2
SO-12021,29,424,2020-12-11,2020-12-18,2020-12-18,926.88,4,231.72
SO-12024,48,201,2023-01-17,2023-01-27,2023-01-30,180.88,2,90.44
SO-10677,21,124,2024-09-19,2024-09-28,2024-10-02,2548.08,4,637.02
SO-12030,100,75,2018-06-13,2018-06-19,2018-06-23,885.36,4,221.34
SO-12033,78,168,2021-06-16,2021-06-30,2021-07-07,331.2,5,66.24
SO-12036,88,310,2024-09-20,2024-10-01,2024-10-10,163.5,2,81.75
SO-12039,79,324,2018-09-15,2018-09-20,2018-09-30,177.27,3,59.09
SO-12041,31,290,2020-02-23,2020-02-29,2020-03-04,1156.64,2,578.32
SO-12043,86,338,2020-02-11,2020-02-24,2020-03-04,69.96,2,34.98
SO-12046,70,284,2021-08-08,2021-08-12,2021-08-19,330.45,5,66.09
SO-12047,27,307,2021-10-13,2021-10-16,2021-10-26,2077.76,4,519.44
SO-12049,69,175,2019-08-23,2019-08-28,2019-09-06,95.33,1,95.33
SO-12050,9,97,2020-11-09,2020-11-17,2020-11-24,12333.05,5,2466.61
SO-11577,55,322,2023-06-29,2023-07-09,2023-07-10,1198.44,4,299.61
SO-12052,6,434,2018-10-15,2018-10-20,2018-10-21,13904.95,5,2780.99
SO-12054,27,21,2024-05-09,2024-05-10,2024-05-10,512.81,1,512.81
SO-12055,29,317,2024-10-08,2024-10-18,2024-10-22,1297.1,5,259.42
SO-12056,22,413,2022-04-19,2022-04-23,2022-05-01,8320.4,5,1664.08
SO-12058,104,249,2019-05-26,2019-05-28,2019-05-31,386.92,4,96.73
SO-12059,36,55,2018-01-13,2018-01-17,2018-01-27,781.53,3,260.51
SO-12060,13,434,2018-12-02,2018-12-09,2018-12-16,4164.88,4,1041.22
SO-10433,70,392,2021-01-17,2021-01-21,2021-01-31,257.2,4,64.3
SO-12064,50,430,2022-12-17,2022-12-27,2022-12-30,285.0,3,95.0
SO-12065,101,207,2020-04-28,2020-05-02,2020-05-07,358.35,3,119.45
SO-11649,61,492,2018-04-10,2018-04-21,2018-04-30,405.6,2,202.8
SO-12070,47,196,2018-03-25,2018-04-02,2018-04-08,769.72,4,192.43
SO-12072,34,246,2019-10-10,2019-10-13,2019-10-16,1935.25,5,387.05
SO-12074,47,25,2020-07-25,2020-07-27,2020-07-29,176.11,1,176.11
SO-12076,58,77,2021-04-15,2021-04-18,2021-04-24,694.8,3,231.6
SO-12077,30,447,2019-01-13,2019-01-23,2019-01-23,1846.1,5,369.22
SO-11577,37,281,2023-04-11,2023-04-18,2023-04-20,309.88,2,154.94
SO-12079,35,419,2020-01-03,2020-01-12,2020-01-13,1922.68,4,480.67
SO-11277,32,403,2018-02-05,,2018-02-13,1034.01,3,344.67
SO-12081,7,241,2019-10-01,2019-10-15,2019-10-17,1232.52,2,616.26
SO-12082,59,90,2019-03-27,2019-04-08,2019-04-11,776.7,2,388.35
SO-12083,37,236,2023-12-07,2023-12-20,2023-12-27,748.2,4,187.05
SO-12086,67,182,2024-10-16,2024-10-26,2024-11-01,1134.12,3,378.04
SO-12087,27,38,2024-09-22,2024-09-28,2024-10-02,560.1,1,560.1
SO-11764,63,102,2018-03-07,2018-03-11,2018-03-17,88.34,2,44.17
SO-12091,51,126,2019-08-06,2019-08-07,2019-08-10,1678.04,4,419.51
